#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
924,Keegan Akin,669211,669211,19362,10524,*041py*,BAL,RP,RP,Akin,Keegan,Akin,Keegan,Keegan Akin
925,Eli Morgan,669212,669212,20203,10928,*04eiw*,CHC,RP,RP,Morgan,Eli,Morgan,Eli,Eli Morgan
926,Je’Von Ward,669219,669219,sa3004969,10232,*04em1*,TOR,OF,OF,Ward,Je’Von,Ward,Je’Von,
927,Sean Murphy,669221,669221,19352,10327,*03aoy*,ATL,C,C,Murphy,Sean,Murphy,Sean,Sean Murphy
928,Nick Senzel,669222,669222,19293,9776,*03zc9*,LAD,OF,OF,Senzel,Nick,Senzel,Nick,Nick Senzel
929,Austin Wells,669224,669224,27562,11599,*05ahg*,NYY,C,C,Wells,Austin,Wells,Austin,Austin Wells
930,Justyn-Henry Malloy,669234,669234,29606,11617,*05uy1*,DET,OF,OF,Malloy,Justyn-Henry,Malloy,Justyn-Henry,Justyn-Henry Malloy
931,Jeremiah Jackson,669236,669236,22239,10234,*04pmt*,BAL,3B/OF,3B/OF,Jackson,Jeremiah,Jackson,Jeremiah,Jeremiah Jackson
932,Tommy Edman,669242,669242,19470,10569,*041sq*,LAD,2B/3B/ OF,2B/SS/ 3B/OF,Edman,Tommy,Edman,Tommy,Tommy Edman
933,Nick Solak,669256,669256,19294,9967,*041q1*,PIT,OF,OF,Solak,Nick,Solak,Nick,Nick Solak
934,Will Smith,669257,669257,19197,10363,*042sz*,LAD,C,C,Smith,Will,Smith,Will,Will Smith
935,Jack Suwinski,669261,669261,22244,11377,*041z2*,PIT,OF,OF,Suwinski,Jack,Suwinski,Jack,Jack Suwinski
936,Joel Kuhnel,669270,669270,19995,10675,*041wc*,NYY,RP,RP,Kuhnel,Joel,Kuhnel,Joel,Joel Kuhnel
937,Dylan Lee,669276,669276,19996,10842,*041vm*,ATL,RP,RP,Lee,Dylan,Lee,Dylan,Dylan Lee
938,Daniel Johnson,669288,669288,19643,10175,*041sd*,BAL,OF,OF,Johnson,Daniel,Johnson,Daniel,Daniel Johnson
939,Santiago Espinal,669289,669289,19997,10781,*041vp*,CIN,2B/3B/ OF,2B/3B/ OF,Espinal,Santiago,Espinal,Santiago,Santiago Espinal
940,Logan Gilbert,669302,669302,22250,10712,*04n0m*,SEA,SP,SP,Gilbert,Logan,Gilbert,Logan,Logan Gilbert
941,Jose Miranda,669304,669304,20538,10253,*041qh*,MIN,3B,1B/3B,Miranda,Jose,Miranda,Jose,Jose Miranda
942,Sean Reynolds,669308,669308,22253,11642,*041rm*,SD,RP,RP,Reynolds,Sean,Reynolds,Sean,Sean Reynolds
943,Joe Perez,669309,669309,22254,10244,*04eez*,CHW,3B,3B,Perez,Joe,Perez,Joe,Joe Perez
944,Bryce Teodosio,669326,669326,29524,12178,*0617q*,LAA,OF,OF,Teodosio,Bryce,Teodosio,Bryce,Bryce Teodosio
945,Tyler Wells,669330,669330,20000,11193,*0473n*,BAL,SP,SP,Wells,Tyler,Wells,Tyler,Tyler Wells
946,Nolan Gorman,669357,669357,22263,10303,*04ai4*,STL,2B/3B,2B/3B,Gorman,Nolan,Gorman,Nolan,Nolan Gorman
947,Shane Baz,669358,669358,22264,10331,*04cwf*,TB,SP,SP,Baz,Shane,Baz,Shane,Shane Baz
948,Xavier Edwards,669364,669364,22266,10365,*04n8z*,MIA,2B/SS,2B/SS,Edwards,Xavier,Edwards,Xavier,Xavier Edwards
949,Bryce Johnson,669369,669369,20002,11526,*04ehv*,SD,OF,OF,Johnson,Bryce,Johnson,Bryce,Bryce Johnson
950,Asa Lacy,669370,669370,sa3014423,11116,*059qm*,KC,SP,SP,Lacy,Asa,Lacy,Asa,
951,Cole Henry,669371,669371,27570,11423,*05gs4*,WSH,RP,RP,Henry,Cole,Henry,Cole,Cole Henry
952,J.T. Ginn,669372,669372,27889,12161,*04pkt*,ATH,SP,SP,Ginn,J.T.,Ginn,J.T.,J.T. Ginn
953,Tarik Skubal,669373,669373,22267,10711,*04ptt*,DET,SP,SP,Skubal,Tarik,Skubal,Tarik,Tarik Skubal
954,Keston Hiura,669374,669374,20003,10264,*04e82*,COL,1B,1B,Hiura,Keston,,,
955,Raynel Delgado,669384,669384,sa3007288,10314,*04ps5*,MIL,2B,2B,Delgado,Raynel,Delgado,Raynel,
956,Carmen Mlodzinski,669387,669387,27572,11810,*05a29*,PIT,SP,SP,Mlodzinski,Carmen,Mlodzinski,Carmen,Carmen Mlodzinski
957,Owen White,669391,669391,22273,11601,*04pms*,CHW,RP,RP,White,Owen,White,Owen,Owen White
958,Samad Taylor,669392,669392,22274,11640,*041vt*,SEA,OF,OF,Taylor,Samad,Taylor,Samad,Samad Taylor
959,Jake Burger,669394,669394,22275,10224,*04azv*,TEX,1B/3B,1B/3B,Burger,Jake,Burger,Jake,Jake Burger
960,Dylan Coleman,669395,669395,22276,11292,*04pq2*,BAL,RP,RP,Coleman,Dylan,Coleman,Dylan,Dylan Coleman
961,Nick Allen,669397,669397,22277,10857,*04efs*,ATL,SS,SS,Allen,Nick,Allen,Nick,Nick Allen
962,Gage Workman,669398,669398,27573,12327,*04en9*,DET,3B,SS/3B,Workman,Gage,Workman,Gage,Gage Workman
963,Frainyer Chavez,669413,669413,sa3007019,10395,*04q4n*,TEX,SS,SS,Chavez,Frainyer,Chavez,Frainyer,
964,Matt Sauer,669422,669422,22284,12007,*04ef0*,LAD,RP,RP,Sauer,Matt,Sauer,Matt,Matt Sauer
965,Trevor Rogers,669432,669432,22286,10351,*04ak5*,BAL,SP,SP,Rogers,Trevor,Rogers,Trevor,Trevor Rogers
966,Mason Englert,669438,669438,22288,11726,*04pqh*,TB,RP,RP,Englert,Mason,Englert,Mason,Mason Englert
967,Chandler Champlain,669441,669441,sa3018138,12029,*05y7q*,KC,SP,SP,Champlain,Chandler,Champlain,Chandler,
968,Cooper Hummel,669450,669450,19458,11332,*0421c*,TB,OF,OF,Hummel,Cooper,Hummel,Cooper,Cooper Hummel
969,Shane Bieber,669456,669456,19427,10038,*041rf*,TOR,SP,SP,Bieber,Shane,Bieber,Shane,Shane Bieber
970,Kyle Nelson,669459,669459,20515,10929,*04eny*,ARI,RP,RP,Nelson,Kyle,Nelson,Kyle,Kyle Nelson
971,Matthew Liberatore,669461,669461,22294,10287,*04mlx*,STL,SP,SP,Liberatore,Matthew,Liberatore,Matthew,Matthew Liberatore
972,Andre Pallante,669467,669467,26108,11442,*05133*,STL,SP,SP,Pallante,Andre,Pallante,Andre,Andre Pallante
973,Devin Mann,669471,669471,sa3006869,11051,*04pr2*,SF,2B,2B,Mann,Devin,Mann,Devin,
974,Casey Schmitt,669477,669477,27577,11743,*05jp4*,SF,1B/2B/ 3B,1B/2B/ 3B,Schmitt,Casey,Schmitt,Casey,Casey Schmitt
975,Joe Barlow,669618,669618,22296,10983,*0429m*,TEX,RP,RP,Barlow,Joe,Barlow,Joe,Joe Barlow
976,Brady Basso,669620,669620,25582,11972,*051c5*,ATH,RP,RP,Basso,Brady,Basso,Brady,Brady Basso
977,Anthony Bender,669622,669622,19742,11205,*0423e*,MIA,RP,RP,Bender,Anthony,Bender,Anthony,Anthony Bender
978,Sam Long,669674,669674,25379,11220,*0421l*,KC,RP,RP,Long,Sam,Long,Sam,Sam Long
979,Chris Murphy,669684,669684,26214,11710,*0514m*,BOS,RP,RP,Murphy,Chris,Murphy,Chris,Chris Murphy
980,Braden Shewmake,669699,669699,25817,10848,*04qri*,NYY,SS,SS,Shewmake,Braden,Shewmake,Braden,Braden Shewmake
